"id"	"substance_id"	"ncgc_id"	"tox21_id"	"pubchem_sid"	"bottle_barcode"	"withdrawn"
322	1018	"NCGC00253934-01"	300018	144210338	"TX001686"	"false"
323	5909	"NCGC00254281-01"	300326	144210644	"TX001360"	"false"
324	1447	"NCGC00254049-01"	300178	144210498	"TX005086"	"false"
325	5926	"NCGC00254027-01"	300308	144210628	"TX008876"	"false"
326	8706	"NCGC00253942-01"	300177	144210497	"TX005044"	"false"
327	5903	"NCGC00254144-01"	300171	144210491	"TX004419"	"false"
328	4761	"NCGC00254451-01"	300482	144210800	"TX006855"	"false"
329	2047	"NCGC00254003-01"	300080	144210400	"TX002504"	"false"
330	8689	"NCGC00254006-01"	300070	144210390	"TX002373"	"false"
331	4001	"NCGC00254423-01"	300393	144210711	"TX004359"	"false"
332	3276	"NCGC00253928-01"	300265	144210585	"TX006293"	"false"
333	8715	"NCGC00253985-01"	300108	144210428	"TX003067"	"false"
334	7641	"NCGC00254041-01"	300088	144210408	"TX002599"	"false"
335	5786	"NCGC00254163-01"	300141	144210461	"TX003485"	"false"
336	4000	"NCGC00254185-01"	300186	144210506	"TX005197"	"false"
337	3795	"NCGC00254533-01"	300558	144210875	"TX009316"	"false"
338	2228	"NCGC00254484-01"	300557	144210874	"TX009310"	"false"
339	5657	"NCGC00091088-05"	400054	144214015	"TX009258"	"false"
340	7782	"NCGC00254458-01"	300363	144210681	"TX003077"	"false"
341	1988	"NCGC00254076-01"	300048	144210368	"TX002103"	"false"
342	8596	"NCGC00254487-01"	300612	144210929	"TX010385"	"false"
343	8835	"NCGC00254410-01"	300378	144210696	"TX003564"	"false"
344	1410	"NCGC00254530-01"	300616	144210933	"TX010423"	"false"
345	8868	"NCGC00254278-01"	300353	144210671	"TX002345"	"false"
346	1100	"NCGC00254360-01"	300549	144210867	"TX009038"	"false"
347	6637	"NCGC00253936-01"	300276	144210596	"TX006885"	"false"
348	2010	"NCGC00254020-01"	300121	144210441	"TX003249"	"false"
349	7535	"NCGC00253951-01"	300172	144210492	"TX004449"	"false"
350	8504	"NCGC00244579-01"	400029	144213990	"TX007214"	"false"
351	7918	"NCGC00254315-01"	300380	144210698	"TX003818"	"false"
352	7817	"NCGC00254323-01"	300509	144210827	"TX007335"	"false"
353	7590	"NCGC00254058-01"	300008	144210328	"TX001280"	"false"
354	8597	"NCGC00254343-01"	300580	144210897	"TX009757"	"false"
355	4810	"NCGC00254403-01"	300361	144210679	"TX002963"	"false"
356	4790	"NCGC00254078-01"	300189	144210509	"TX005237"	"false"
357	7970	"NCGC00254249-01"	300595	144210912	"TX009948"	"false"
358	2872	"NCGC00254055-01"	300124	144210444	"TX003295"	"false"
359	128	"NCGC00253999-01"	300271	144210591	"TX006463"	"false"
360	7056	"NCGC00254068-01"	300082	144210402	"TX002530"	"false"
361	3092	"NCGC00253964-01"	300115	144210435	"TX003149"	"false"
362	1755	"NCGC00254396-01"	300615	144210932	"TX010408"	"false"
363	1179	"NCGC00254372-01"	300583	144210900	"TX009763"	"false"
364	1413	"NCGC00255513-01"	302431	144212748	"TX010387"	"false"
365	3827	"NCGC00256552-01"	302876	144213193	"TX003315"	"false"
366	6624	"NCGC00256576-01"	302973	144213290	"TX003169"	"false"
367	4160	"NCGC00254280-01"	300398	144210716	"TX004824"	"false"
368	5059	"NCGC00254100-01"	300291	144210611	"TX008520"	"false"
369	5974	"NCGC00254067-01"	300091	144210411	"TX002669"	"false"
370	7062	"NCGC00254354-01"	300620	144210937	"TX011613"	"false"
371	112	"NCGC00254482-01"	300355	144210673	"TX002403"	"false"
372	3782	"NCGC00254705-01"	300801	144211118	"TX001555"	"false"
373	2062	"NCGC00254444-01"	300371	144210689	"TX003307"	"false"
374	1068	"NCGC00016000-13"	400072	144214033	"TX011018"	"false"
375	3053	"NCGC00254576-01"	300668	144210985	"TX000934"	"false"
376	72	"NCGC00254355-01"	300556	144210873	"TX009308"	"false"
377	7737	"NCGC00160537-04"	400085	144214046	"TX011593"	"false"
378	6799	"NCGC00254441-01"	300518	144210836	"TX008020"	"false"
379	6647	"NCGC00254390-01"	300589	144210906	"TX009869"	"false"
380	5901	"NCGC00254123-01"	300284	144210604	"TX007050"	"false"
381	6026	"NCGC00254608-01"	300700	144211017	"TX000719"	"false"
382	6039	"NCGC00254919-01"	301017	144211334	"TX000787"	"false"
383	3033	"NCGC00254024-01"	300287	144210607	"TX008373"	"false"
384	3415	"NCGC00256174-01"	301775	144212092	"TX005482"	"false"
385	300	"NCGC00255228-01"	302152	144212469	"TX007771"	"false"
386	3347	"NCGC00255105-01"	301208	144211525	"TX003884"	"false"
387	5151	"NCGC00255570-01"	302012	144212329	"TX007125"	"false"
388	4332	"NCGC00256131-01"	301705	144212022	"TX005262"	"false"
389	1185	"NCGC00257143-01"	303138	144213455	"TX007109"	"false"
390	1463	"NCGC00254844-01"	300942	144211259	"TX003325"	"false"
391	400	"NCGC00255231-01"	301465	144211782	"TX004046"	"false"
392	4839	"NCGC00256499-01"	302888	144213205	"TX001334"	"false"
393	6999	"NCGC00255357-01"	301307	144211624	"TX002329"	"false"
394	2962	"NCGC00255157-01"	301217	144211534	"TX001043"	"false"
