"id"	"sample_id"	"t0_grade_id"	"validated"	"t4_grade_id"	"call_id"	"annotation"
2322	579	17	"false"	17	1	
2323	581	17	"false"	17	1	
2324	584	17	"false"	17	1	
2325	585	17	"false"	17	1	
2326	586	17	"false"	17	1	
2327	591	17	"false"	17	1	
2328	592	25	"false"	25	1	
2329	595	17	"false"	17	1	
2330	598	17	"false"	17	1	
2331	600	17	"false"	17	1	
2332	603	17	"false"	17	1	
2333	604	17	"false"	17	1	
2334	605	17	"false"	17	1	
2335	608	17	"false"	17	1	
2336	610	17	"false"	17	1	
2337	612	17	"false"	17	1	
2338	614	17	"false"	17	1	
2339	615	17	"false"	17	1	
2340	617	17	"false"	17	1	
2341	618	17	"false"	17	1	
2342	619	17	"false"	17	1	
2343	620	17	"false"	17	1	
2344	622	17	"false"	17	1	
2345	623	17	"false"	17	1	
2346	624	21	"false"	21	1	
2347	626	17	"false"	17	1	
2348	627	17	"false"	17	1	
2349	628	28	"false"	28	1	
2350	629	17	"false"	17	1	
2351	631	17	"false"	17	1	
2352	632	17	"false"	17	1	
2353	633	17	"false"	17	1	
2354	638	17	"false"	17	1	
2355	641	17	"false"	17	1	
2356	642	17	"false"	17	1	
2357	644	17	"false"	17	1	
2358	645	17	"false"	17	1	
2359	647	17	"false"	17	1	
2360	658	17	"false"	17	1	
2361	660	17	"false"	17	1	
2362	661	17	"false"	17	1	
2363	663	17	"false"	17	1	
2364	665	17	"false"	17	1	
2365	666	17	"false"	17	1	
2366	667	17	"false"	17	1	
2367	669	28	"false"	28	1	
2368	671	17	"false"	17	1	
2369	672	17	"false"	17	1	
2370	673	17	"false"	17	1	
2371	674	21	"false"	21	1	
2372	677	17	"false"	17	1	
2373	679	28	"false"	28	1	
2374	681	17	"false"	17	1	
2375	682	17	"false"	17	1	
2376	683	17	"false"	17	1	
2377	685	17	"false"	17	1	
2378	686	17	"false"	17	1	
2379	687	17	"false"	17	1	
2380	688	17	"false"	17	1	
2381	689	17	"false"	17	1	
2382	690	17	"false"	17	1	
2383	692	17	"false"	17	1	
2384	693	17	"false"	17	1	
2386	696	17	"false"	17	1	
2387	697	17	"false"	17	1	
2388	698	17	"false"	17	1	
2389	699	17	"false"	17	1	
2390	700	17	"false"	17	1	
2391	702	17	"false"	17	1	
2392	703	17	"false"	17	1	
2393	704	17	"false"	17	1	
2395	708	17	"false"	17	1	
2396	709	17	"false"	17	1	
2397	710	17	"false"	17	1	
2398	712	17	"false"	17	1	
2399	713	17	"false"	17	1	
2400	714	17	"false"	17	1	
2401	717	28	"false"	28	1	
2402	718	17	"false"	17	1	
2403	719	17	"false"	17	1	
2404	720	17	"false"	17	1	
2405	721	21	"false"	21	1	
2278	502	17	"true"	17	1	
2273	492	17	"true"	17	1	
2315	567	17	"true"	17	1	
2292	525	17	"true"	17	1	
2253	464	17	"true"	17	1	
2394	706	17	"true"	17	1	
2239	448	17	"true"	17	1	
2314	566	17	"true"	17	1	
2289	521	17	"true"	17	1	
2241	452	17	"true"	17	1	
