id,substances_id,bp_degc,mp_degc,vp_mmhg,logp
706,389,281.5,188.474,7.02974e-06,1.31643
708,391,375.162,131.582,5.567e-08,5.9402
709,392,275.101,57.1857,0.000998911,2.09061
713,396,287.026,109.449,0.00032368,1.35151
714,397,265.5,25.74,0.00437157,4.311
715,398,257.478,137.471,1.68587e-05,1.31234
718,401,201.755,-42.4376,0.69837,3.6697
719,402,270.471,93.6762,9.6624e-06,-0.10071
720,403,272.014,44.2991,0.00476995,5.12059
721,404,364.445,161.962,3.99302e-08,4.75456
722,405,368.251,216.942,1.31574e-08,4.54912
724,407,271.795,189.492,1.68614e-10,-1.81043
726,409,253.461,240.582,0.000478976,0.367354
728,411,203.576,-9.43257,0.125015,1.20828
729,412,248.56,184.359,1.43293e-05,-0.442291
730,413,332.823,196.502,1.35823e-07,-2.58147
732,415,129.431,65.1221,5.49344,0.757919
733,416,246.015,114.48,0.013974,3.26812
734,417,321.572,124.075,3.1403e-10,2.90124
735,418,307.122,149.026,1.26864e-06,2.51575
736,419,359.044,115.99,8.33097e-13,2.50285
737,420,342.916,67.3809,7.55201e-06,4.48975
738,421,330.558,173.004,6.99001e-05,1.70163
739,422,321.422,107.543,2.60598e-07,2.90198
740,423,349.266,40.1023,3.48898e-06,4.70945
741,424,276.156,222.392,2.34028e-11,1.7691
742,425,319.575,139.795,3.13515e-07,3.29296
743,426,186.099,-13.8741,0.148578,1.89959
744,427,134.754,-6.18374,2.48516,1.94251
745,428,206.694,3.13156,0.0535664,1.95041
746,429,318.258,229.791,1.78375e-07,0.896203
747,430,236.202,78.4965,0.0414146,2.4292
748,431,377.526,182.501,1.25575e-09,2.29392
749,432,389.078,218.142,1.80803e-10,2.71174
750,433,393.908,216.731,4.51843e-10,1.50336
751,434,371.51,204.716,2.15529e-09,-1.24379
752,435,148.011,19.3455,2.99194,0.231402
753,436,249.383,63.9274,0.0906075,0.486924
754,437,463.021,169.86,1.50962e-07,4.49951
755,438,311.379,151.769,1.56818e-08,2.94789
756,439,341.523,61.635,8.99803e-07,4.60966
757,440,251.892,39.5335,0.000113065,2.53399
758,441,207.957,-8.17646,0.0556701,2.54419
759,442,314.331,98.921,9.19567e-05,1.83414
760,443,272.265,120.169,2.91575e-09,3.38987
763,446,370.073,149.45,1.55084e-09,2.29602
764,447,361.781,78.9199,0.000426836,4.55904
765,448,322.722,196.686,7.99217e-11,2.48221
766,449,298.485,122.077,7.66774e-08,2.82704
767,450,354.083,9.15205,4.12361e-07,4.49985
768,451,391.258,84.2811,6.48634e-09,4.27839
769,452,307.906,89.6363,4.22789e-06,1.6808
770,453,264.402,203.968,2.45118e-11,1.20019
771,454,251.652,11.5642,0.0175405,3.85064
772,455,222.997,151.407,0.00337938,0.582586
773,456,271.438,109.09,7.42113e-06,0.0539201
774,457,335.703,214.198,4.05007e-08,3.18036
776,459,330.73,152.023,1.22559e-09,0.762745
777,460,320.442,110.728,9.33631e-06,4.15704
779,462,273.45,169.043,9.2919e-10,1.78647
780,463,335.73,118.123,2.8996e-06,2.69004
781,464,328.608,155.044,4.93179e-09,1.15045
782,465,419.286,67.9708,6.21713e-08,4.68931
783,466,317.042,120.038,1.12916e-07,2.63741
784,467,300.847,81.6197,0.000147338,2.29701
785,468,322.326,179.728,2.85903e-08,2.16211
786,469,354.584,61.6739,5.14721e-07,7.2712
787,470,401.446,34.2828,2.18894e-08,6.49886
788,471,324.606,140.667,0.000110877,1.53577
789,472,176.484,-21.4449,0.291068,1.5408
790,473,212.29,-16.4855,0.106476,-0.391738
791,474,338.286,194.1,9.27997e-09,0.587944
792,475,304.111,213.902,9.42424e-11,0.604034
793,476,461.009,203.259,3.27906e-09,
794,477,253.18,98.4411,3.49538e-05,1.12863
795,478,303.079,192.762,9.16107e-10,2.90099
796,479,141.343,13.5583,3.92849,0.350125
797,480,404.629,203.954,7.9589e-11,2.87803
798,481,285.014,121.42,0.000824776,0.681414
799,482,329.928,184.215,3.9049e-10,-0.432107
800,483,449.277,228.078,1.57302e-08,2.17887
801,484,466.022,231.977,4.72669e-09,2.21413
802,485,334.199,133.05,2.21018e-07,-2.7117
803,486,462.971,178.283,7.25578e-09,3.81693
804,487,328.391,232.951,1.48061e-10,-2.04661
805,488,332.948,200.454,2.8861e-10,-0.787819
806,489,294.636,244.952,2.95767e-10,2.63521
807,490,411.015,265.465,8.72331e-10,2.48169
808,491,280.736,170.742,7.4911e-10,1.90973
809,492,347.843,99.3173,3.41148e-08,3.94828
810,493,293.986,43.9626,0.000684371,0.521624
811,494,276.325,162.544,0.000261032,3.84554
812,495,321.836,214.482,3.49906e-09,3.55316
813,496,263.202,24.9317,0.0284621,3.39017
814,497,293.852,112.622,1.64541e-09,3.92917
815,498,389.747,86.1674,2.9893e-08,4.57892
816,499,300.014,123.266,6.8995e-08,3.81741
817,500,332.931,125.434,9.90113e-07,5.02571
818,501,276.992,88.5085,4.43829e-08,3.75937
819,502,357.211,0.663095,4.00141e-07,6.61908
820,503,283.429,164.692,1.16547e-05,1.13582
821,504,298.589,148.206,0.000183548,-0.764133
822,505,210.497,-42.3725,0.351778,4.07273
823,506,317.524,90.5846,9.80467e-06,1.08733
824,507,236.957,-53.167,0.0796194,4.16628
825,508,251.419,82.7956,0.0224353,2.46669
826,509,102.638,-9.51558,16.5215,0.890908
827,510,166.024,-66.8354,1.31488,2.58187
828,511,207.721,79.9072,0.164773,-0.435273
829,512,197.204,80.3227,0.631219,0.0487195
830,513,169.511,-120.935,0.39038,2.78469
831,514,347.412,5.64146,2.77542e-07,6.02208
832,515,319.618,195.287,6.7338e-11,3.56719
833,516,220.51,15.376,0.200141,0.330135
834,517,310.782,87.4817,2.05805e-06,-0.114934
836,519,355.304,45.2557,3.63688e-06,3.57579
837,520,287.479,200.355,1.01348e-09,0.572059
838,521,167.948,35.2752,14.3955,-0.117597
839,522,378.042,64.9245,2.28334e-08,3.6527
840,523,316.847,199.838,3.36228e-09,4.78689
841,524,302.809,67.778,3.30008e-06,3.35961
842,525,177.839,-65.6183,11.2287,5.00613
843,526,223.0,-57.8769,0.102143,4.2539
844,527,378.646,34.5767,2.64903e-06,3.7282
